smiles,log HLM(ml/min/kg)
CC(=O)N1CCN([C@H]2CCN(C(=O)N(C)[C@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3C)C2)CC1,1.352182518
CC(=O)N1CCN(c2nc(NC(C)(C)Cc3ccc(Cl)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,1.068185862
CC(=O)N1CCN(c2nc(NCc3cc4ccccc4cn3)c3c(n2)C(=O)N(C(C)C)C3)CC1,1.158362492
CC(=O)N1CCN(c2nc(NCc3ccc(C(F)(F)F)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,1.445604203
CC(=O)N1CCN(c2nc(NCc3ccc(Cl)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,0.73239376
CC(=O)N1CCN(c2nc(NCc3ccc(OC(F)(F)F)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,0.556302501
CC(=O)N1CCN(c2nc(NCc3cnc4ccccc4c3)c3c(n2)C(=O)N(C(C)C)C3)CC1,0.995635195
CC(=O)N1CCN(c2nc(N[C@H](C)c3ccc(OC(F)(F)F)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,1.29666519
CC(=O)N1CCN(c2nc3c(c(N(C)Cc4cc5ccccc5cn4)n2)CN(C(C)C)C3=O)CC1,1.23299611
CC(=O)N1CCN(c2nccnc2Oc2ccc(C(=O)c3nc4ccccc4[nH]3)cc2)CC1,1.479287316
CC(=O)N1CC[C@@H](Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)[C@H]1c1ccc(F)cc1,2.033423755
CC(=O)N1CC[C@@H](Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)[C@H]1c1ccccc1,1.995635195
CC(=O)N1CCc2cc(-c3cnccc3C)ccc21,1.862727528
CC(=O)N1Cc2cc(Cl)ccc2-n2c(nnc2C2CCN(c3ccccn3)CC2)C1,0.908485019
CC(=O)N1Cc2cc(Cl)ccc2N(C(=O)N2CCN(c3ccccc3C)CC2)C1,1.898725182
CC(=O)N1Cc2cc(S(=O)(=O)CC3(C#N)CC3)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.908485019
CC(=O)N1Cc2cc(S(=O)(=O)CC3(F)CC3)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.851869601
CC(=O)N1Cc2cc(S(=O)(=O)CCO)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.445604203
CC(=O)N1Cc2cc(S(=O)(=O)NC3CC3)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.995635195
CC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,1.209515015
CC(=O)NC1C2CC3CC1CC(C2)C31OO[C@]2(CC[C@@H](c3ccc(OCC(=O)O)cc3)CC2)O1,0.954242509
CC(=O)NC1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccc(Cl)cc2)CC3)CC1,1.943247125
CC(=O)NCCC1CCc2ccc3nc(C)sc3c21,1.607455023
CC(=O)NCCC1CCc2ccc3nn(C)cc3c21,0.653212514
CC(=O)NCCC1CCc2ccn3nc(C)cc3c21,1.100370545
CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,1.100370545
CC(=O)NCCOc1ccc2c(c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,0.5774918
CC(=O)NCCSc1nc(N)nc(-c2c(Cl)cc3c4c(cccc24)COC3)n1,1.23299611
